OBJECTID,NAME,ADDRESS,GRADES,DIRECTOR,PHONE,AUTHORIZER,AUTHORIZAT,ENROLLMENT,GIS_ID,WEB_URL,ADDRID,X,Y,MYSCHOOL,SCHOOL_YEA,LEA_NAME,LEA_ID,SCHOOL_NAM,SCHOOL_ID,SCHOOLCODE,GRADES_1,LATITUDE,LONGITUDE,FACILITY_ID,CLUSTER_,WARD,ZIPCODE
20,Cesar Chavez PCS for Public Policy - Capitol Hill,709 12TH STREET SE,9th-12th,Jeff Cooper,202-547-3424,,0,0,chrt_118,http://www.chavezschools.org/our-schools/capitol-hill-high-school/,76726,400812.11,134762.27,Y,2018-2019,Cesar Chavez PCS for Public Policy - Capitol Hill,109,Cesar Chavez PCS for Public Policy - Capitol Hill,153,153,9th-12th,38.88069473,-76.99064037,PCSB_21BLD,Cluster 26,Ward 6,20003
21,Cesar Chavez PCS for Public Policy - Chavez Prep,770 KENYON STREET NW,6th-9th,Jeff Cooper,202-723-3975,,0,0,chrt_119,http://www.chavezschools.org/our-schools/chavez-prep-middle-school/,285409,397756.37,140192.11,Y,2018-2019,Cesar Chavez PCS for Public Policy - Chavez Prep,109,Cesar Chavez PCS for Public Policy - Chavez Prep,127,127,6th-9th,38.92960614,-77.02587574,DGS_0774.0,Cluster 2,Ward 1,20010
22,Cesar Chavez PCS for Public Policy - Parkside High School,3701 HAYES STREET NE,9th-12th,Jeff Cooper,202-398-2230,,0,0,chrt_120,http://www.chavezschools.org/our-schools/parkside-high-school/,304053,404418.2,137066.13,Y,2018-2019,Cesar Chavez PCS for Public Policy - Parkside High School,109,Cesar Chavez PCS for Public Policy - Parkside High School,109,109,9th-12th,38.90143803,-76.94906511,PCSB_23BLD,Cluster 30,Ward 7,20019
23,Cesar Chavez PCS for Public Policy - Parkside Middle School,3701 HAYES STREET NE,7th-8th,Jeff Cooper,202-398-2230 Ext. 1,,0,0,chrt_3,http://www.chavezschools.org/our-schools/parkside-middle-school/,304053,404418.2,137066.13,Y,2018-2019,Cesar Chavez PCS for Public Policy - Parkside Middle School,109,Cesar Chavez PCS for Public Policy - Parkside Middle School,102,102,7th-8th,38.90143803,-76.94906511,PCSB_23BLD,Cluster 30,Ward 7,20019
24,City Arts and Prep PCS,705 EDGEWOOD STREET NE,PK3-8th,,202-269-4646,,0,0,chrt_85,https://cityartspcs.org/,289576,400359.57,139530.04,Y,2018-2019,City Arts & Prep PCS,153,City Arts & Prep PCS,210,210,PK3-8th,38.9236448,-76.99585343,PCSB_96BLD,Cluster 21,Ward 5,20017
25,Community College Preparatory Academy PCS [DCIA],2330 POMEROY ROAD SE,Adult,C. Vanessa Spinner,202-610-5780,,0,0,chrt_144,https://www.ccprep-academy.org/,294542,401254.17,132114.8,N,2018-2019,Community College Preparatory Academy PCS [DCIA],176,Community College Preparatory Academy PCS [DCIA],216,216,Adult,38.85684472,-76.98555043,PCSB_140BLD,Cluster 37,Ward 8,20020
26,Community College Preparatory Academy PCS [Main],2405 MARTIN LUTHER KING JR AVENUE SE,Adult,C. Vanessa Spinner,202-610-5780,,0,0,chrt_7,https://www.ccprep-academy.org/,147816,400639.64,132770.45,N,2018-2019,Community College Preparatory Academy PCS [Main],176,Community College Preparatory Academy PCS [Main],216,216,Adult,38.86275176,-76.99262996,PCSB_28BLD,Cluster 37,Ward 8,20020
27,Community College Preparatory Academy PCS [MC Terrell],3301 WHEELER ROAD SE,Adult,C. Vanessa Spinner,202-770-3252,,0,0,chrt_145,https://www.ccprep-academy.org/,294563,400512.16,130413.48,N,2018-2019,Community College Preparatory Academy PCS [MC Terrell],176,Community College Preparatory Academy PCS [MC Terrell],216,216,Adult,38.84151923,-76.99410056,DGS_0508.0,Cluster 39,Ward 8,20032
28,Creative Minds International PCS,3700 NORTH CAPITOL STREET NW,PK3-8th,"Golnar Abedin, Ph.D.",202-588-0370,,0,0,chrt_8,https://www.creativemindspcs.org/,291848,399397.09,140962.44,Y,2018-2019,Creative Minds International PCS,169,Creative Minds International PCS,3069,3069,PK3-8th,38.93654816,-77.00695403,PCSB_114BLD,Cluster 21,Ward 5,20011
29,DC Bilingual PCS,33 RIGGS ROAD NE,PK3-5th,Tehani Collazo,202-750-6674,,0,0,chrt_9,http://dcbilingual.org/,155991,399424.65,143002.17,Y,2018-2019,DC Bilingual PCS,114,DC Bilingual PCS,199,199,PK3-5th,38.95492264,-77.00663786,DGS_0776.0,Cluster 19,Ward 5,20011
30,DC Prep PCS - Anacostia Elementary,1409 V STREET SE,PK3-2nd,Rick Cruz,202-729-3500,,0,0,chrt_125,http://www.dcprep.org/Anacostia_Elementary_Campus,301493,401325.02,132980.84,Y,2018-2019,DC Prep PCS - Anacostia Elementary School,115,DC Prep PCS - Anacostia Elementary School,276,276,PK3-2nd,38.86464627,-76.98473248,PCSB_131BLD,Cluster 28,Ward 8,20020
31,DC Prep PCS - Benning Elementary,100 41ST STREET NE,PK3-3rd,Rick Cruz,202-398-2838,,0,0,chrt_11,http://www.dcprep.org/Benning_Elementary_Campus,294468,404787,135910.06,Y,2018-2019,DC Prep PCS - Benning Elementary School ,115,DC Prep PCS - Benning Elementary School ,1110,1110,PK3-3rd,38.8910218,-76.94482148,DGS_0185.0,Cluster 32,Ward 7,20019
32,DC Prep PCS - Benning Middle,100 41ST STREET NE,4th-8th,Rick Cruz,202-396-3780,,0,0,chrt_12,http://www.dcprep.org/Benning_Middle_Campus,294468,404787,135910.06,Y,2018-2019,DC Prep PCS - Benning Middle School,115,DC Prep PCS - Benning Middle School,218,218,4th-8th,38.8910218,-76.94482148,DGS_0185.0,Cluster 32,Ward 7,20019
33,DC Prep PCS - Edgewood Elementary,707 EDGEWOOD STREET NE,PK3-3rd,Rick Cruz,202-635-4411,,0,0,chrt_13,http://www.dcprep.org/Edgewood_Elementary_Campus,289577,400369.83,139600.22,Y,2018-2019,DC Prep PCS - Edgewood Elementary School,115,DC Prep PCS - Edgewood Elementary School,130,130,PK3-3rd,38.92427699,-76.99573508,PCSB_31BLD,Cluster 21,Ward 5,20017
34,DC Prep PCS - Edgewood Middle,701 EDGEWOOD STREET NE,4th-8th,Rick Cruz,202-832-5700,,0,0,chrt_14,http://www.dcprep.org/Edgewood_Middle_Campus,289579,400346.07,139651.51,Y,2018-2019,DC Prep PCS - Edgewood Middle School,115,DC Prep PCS - Edgewood Middle School,196,196,4th-8th,38.92473904,-76.99600905,PCSB_33BLD,Cluster 21,Ward 5,20017
35,DC Scholars PCS,5601 EAST CAPITOL STREET SE,PK3-8th,Lars Beck,202-559-6138,,0,0,chrt_15,https://dcscholars.org/dcspcs/,294610,406789.33,135740.32,Y,2018-2019,DC Scholars PCS,170,DC Scholars PCS,3070,3070,PK3-8th,38.88947954,-76.92174283,DGS_0187.0,Cluster 33,Ward 7,20019
36,Democracy Prep Congress Heights PCS,3100 MARTIN LUTHER KING JR AVENUE SE,PK3-8th,Sean Reidy,202-561-0860,,0,0,chrt_95,http://dpch.democracyprep.org/,301280,400161.23,130633.04,Y,2018-2019,Democracy Prep Congress Heights PCS,179,Democracy Prep Congress Heights PCS,234,234,PK3-8th,38.84349726,-76.99814278,DGS_0796.0,Cluster 39,Ward 8,20032
37,Digital Pioneers Academy PCS,2220 BRANCH AVENUE SE,6th,,202-677-3522,,0,0,chrt_141,https://www.digitalpioneersacademy.org/,50755,403591.43,132754.35,Y,2018-2019,Digital Pioneers PCS,317,Digital Pioneers PCS,1038,1038,6th,38.86259962,-76.958619,PCSB_137BLD,Cluster 35,Ward 7,20020
38,District of Columbia International School,1400 MAIN DRIVE NW,6th-11th,Mary Shaffner,202-808-9033,,0,0,chrt_44,https://dcinternationalschool.org/,316323,397036.3,145001.68,Y,2018-2019,District of Columbia International School,181,District of Columbia International School,248,248,6th-11th,38.97292958,-77.03420107,PCSB_132BLD,Cluster 17,Ward 4,20012
39,E.L. Haynes PCS - Elementary School,4501 KANSAS AVENUE NW,PK3-4th,Jennie Niles,202-667-4446,,0,0,chrt_18,https://www.elhaynes.org/,284930,398056.76,141967.7,Y,2018-2019,E.L. Haynes PCS - Elementary School,116,E.L. Haynes PCS - Elementary School,1206,1206,PK3-4th,38.94560189,-77.02241638,DGS_0625.0,Cluster 18,Ward 4,20011
40,E.L. Haynes PCS - High School,4501 KANSAS AVENUE NW,9th-12th,Jennie Niles,202-667-4446,,0,0,chrt_17,https://www.elhaynes.org/,284930,398056.76,141967.7,Y,2018-2019,E.L. Haynes PCS - High School,116,E.L. Haynes PCS - High School,1138,1138,9th-12th,38.94560189,-77.02241638,DGS_0625.0,Cluster 18,Ward 4,20011
41,E.L. Haynes PCS - Middle School,3600 GEORGIA AVENUE NW,5th-8th,Jennie Niles,202-667-4446,,0,0,chrt_39,https://www.elhaynes.org/,306085,397898.05,140715.53,Y,2018-2019,E.L. Haynes PCS - Middle School,116,E.L. Haynes PCS - Middle School,146,146,5th-8th,38.93432162,-77.02424335,PCSB_35BLD,Cluster 2,Ward 1,20010
42,Eagle Academy PCS - Fairlawn,2345 R STREET SE,PK3-3rd,Cassandra S. Pinkney,202-459-6825,,0,0,chrt_19,https://www.eagleacademypcs.org/,286946,402384.05,133493.14,Y,2018-2019,Eagle Academy PCS - Fairlawn,117,Eagle Academy PCS - Fairlawn,1125,1125,PK3-3rd,38.869259,-76.972528,PCSB_37BLD,Cluster 27,Ward 8,20020
43,Eagle Academy PCS - Congress Heights,3400 WHEELER ROAD SE,PK3-3rd,Cassandra S. Pinkney,202-544-2646,,0,0,chrt_20,https://www.eagleacademypcs.org/,294566,400604.46,130274.71,Y,2018-2019,Eagle Academy PCS - Congress Heights,117,Eagle Academy PCS - Congress Heights,195,195,PK3-3rd,38.84026907,-76.9930375,DGS_0517.0,Cluster 39,Ward 8,20032
44,Early Childhood Academy PCS,885 BARNABY STREET SE,PK3-3rd,Wendy Edwards,202-373-0035,,0,0,chrt_21,https://www.ecapcs.org/,81585,400761.57,129311.4,Y,2018-2019,Early Childhood Academy PCS [Facility A],118,Early Childhood Academy PCS [Facility A],138,138,PK3-3rd,38.831591,-76.991229,PCSB_39BLD,Cluster 39,Ward 8,20032
45,Early Childhood Academy PCS [Facility B],4301 9TH STREET SE,PK3-3rd,Wendy Edwards,202-373-0035,,0,0,chrt_22,https://www.ecapcs.org/,298086,400902.69,129245.01,N,2018-2019,Early Childhood Academy PCS [Facility B],118,Early Childhood Academy PCS [Facility B],138,138,PK3-3rd,38.83099281,-76.98960367,PCSB_40BLD,Cluster 39,Ward 8,20032
46,Elsie Whitlow Stokes Community Freedom PCS - Brookland,3700 OAKVIEW TERRACE NE,PK3-5th,"Linda Moore, Ed.D.",202-265-7237,,0,0,chrt_23,https://www.ewstokes.org/brookland-campus,289754,400859.44,140789.48,Y,2018-2019,Elsie Whitlow Stokes Community Freedom PCS - Brookland,144,Elsie Whitlow Stokes Community Freedom PCS - Brookland,159,159,PK3-5th,38.93498987,-76.99008735,PCSB_44BLD,Cluster 20,Ward 5,20017
47,Elsie Whitlow Stokes Community Freedom PCS - East End,5600 EAST CAPITOL STREET NE,PK3-KG,"Linda Moore, Ed.D.",202-975-2100,,0,0,chrt_140,https://www.ewstokes.org/east-end-campus,289793,406885.34,135830.53,Y,2018-2019,Elsie Whitlow Stokes Community Freedom PCS - East End,144,Elsie Whitlow Stokes Community Freedom PCS - East End,1059,1059,PK3-KG,38.89029144,-76.92063526,DGS_0686.0,Cluster 33,Ward 7,20019
48,Friendship PCS - Armstrong Elementary,111 O STREET NW,PK3-5th,Brenda Bethea,202-518-3928,,0,0,chrt_6,https://www.friendshipschools.org/schools/armstrong/,316309,398856.81,137891.78,Y,2018-2019,Friendship PCS - Armstrong,120,Friendship PCS - Armstrong,269,269,PK3-5th,38.908886,-77.013181,DGS_0793.0,Cluster 21,Ward 5,20001
49,Friendship PCS - Blow-Pierce Elementary,725 19TH STREET NE,PK3-3rd,Kimberly Campbell,202-572-1070,,0,0,chrt_25,https://www.friendshipschools.org/schools/blow-pierce/,288919,402040.17,136663.58,Y,2018-2019,Friendship PCS - Blow Pierce Elementary,120,Friendship PCS - Blow Pierce Elementary,361,361,PK3-3rd,38.89782045,-76.97648125,DGS_0795.0,Cluster 25,Ward 7,20002
50,Friendship PCS - Blow-Pierce Middle,725 19TH STREET NE,4th-8th,Kimberly Campbell,202-572-1070,,0,0,chrt_132,https://www.friendshipschools.org/schools/blow-pierce/,288919,402040.17,136663.58,Y,2018-2019,Friendship PCS - Blow-Pierce Middle,120,Friendship PCS - Blow-Pierce Middle,362,362,4th-8th,38.89782045,-76.97648125,DGS_0795.0,Cluster 25,Ward 7,20002
51,Academy of Hope Adult PCS [18th Place],2315 18TH PLACE NE,Adult,Lecester Johnson,202-269-6623,,0,0,chrt_28,https://aohdc.org/,48796,401921.82,139212.16,N,2018-2019,Academy of Hope Adult PCS [18th Place],178,Academy of Hope Adult PCS [18th Place],233,233,Adult,38.9207792,-76.97783843,PCSB_90BLD,Cluster 22,Ward 5,20018
52,Academy of Hope Adult PCS [Southeast],421 ALABAMA AVENUE SE,Adult,Lecester Johnson,202-373-0246,,0,0,chrt_29,https://aohdc.org/,25545,400021.69,130560.28,N,2018-2019,Academy of Hope Adult PCS [Southeast],178,Academy of Hope Adult PCS [Southeast],233,233,Adult,38.84284182,-76.99975015,PCSB_102BLD,Cluster 39,Ward 8,20032
53,Achievement Prep PCS - Wahler Place Elementary,908 WAHLER PLACE SE,PK3-3rd,Shantelle Wright,202-562-1307,,0,0,chrt_98,http://achievementprep.org/our-schools/elementary-carousel-5/,294502,400671.25,129615.24,Y,2018-2019,Achievement Preparatory Academy PCS - Wahler Place Elementary School,155,Achievement Preparatory Academy PCS - Wahler Place Elementary School,217,217,PK3-3rd,38.83432822,-76.99226882,DGS_0761.0,Cluster 39,Ward 8,20032
54,Achievement Prep PCS - Wahler Place Middle,908 WAHLER PLACE SE,4th-8th,Susan Canon,202-562-1214,,0,0,chrt_33,http://achievementprep.org/our-schools/wahler-middle-campus/,294502,400671.25,129615.24,Y,2018-2019,Achievement Preparatory Academy PCS - Wahler Place Middle School,155,Achievement Preparatory Academy PCS - Wahler Place Middle School,1100,1100,4th-8th,38.83432822,-76.99226882,DGS_0761.0,Cluster 39,Ward 8,20032
55,AppleTree Early Learning PCS - Columbia Heights,2750 14TH STREET NW,PK3-PK4,Michaele Samuel,202-667-9490,,0,0,chrt_100,https://www.appletreeinstitute.org/schools/columbia-heights/,297626,397160.68,139708.07,Y,2018-2019,AppleTree Early Learning Center PCS - Columbia Heights,103,AppleTree Early Learning Center PCS - Columbia Heights,140,140,PK3-PK4,38.92524403,-77.03274382,PCSB_3BLD,Cluster 2,Ward 1,20009
56,AppleTree Early Learning PCS - Douglas Knoll,2017 SAVANNAH TERRACE SE,PK3-PK4,Michaele Samuel,202-629-2545,,0,0,chrt_104,https://www.appletreeinstitute.org/schools/douglas-knoll/,278045,402177.09,131217.9,Y,2018-2019,AppleTree Early Learning Center PCS - Douglas Knoll,103,AppleTree Early Learning Center PCS - Douglas Knoll,3072,3072,PK3-PK4,38.84876326,-76.9749201,PCSB_4BLD,Cluster 38,Ward 8,20020
57,AppleTree Early Learning PCS - Lincoln Park,138 12TH STREET NE,PK3-PK4,Michaele Samuel,202-621-6581,,0,0,chrt_102,https://www.appletreeinstitute.org/schools/lincoln-park/,65489,400821.07,135963.23,Y,2018-2019,AppleTree Early Learning Center PCS - Lincoln Park,103,AppleTree Early Learning Center PCS - Lincoln Park,3073,3073,PK3-PK4,38.89151343,-76.99053567,PCSB_5BLD,Cluster 26,Ward 6,20002
58,AppleTree Early Learning PCS - Oklahoma Ave,330 21ST STREET NE,PK3-PK4,Michaele Samuel,202-629-2179,,0,0,chrt_103,https://www.appletreeinstitute.org/schools/oklahoma-avenue/,307321,402118.19,136305.64,Y,2018-2019,AppleTree Early Learning Center PCS - Oklahoma Avenue,103,AppleTree Early Learning Center PCS - Oklahoma Avenue,1137,1137,PK3-PK4,38.89459581,-76.97558295,PCSB_6BLD,Cluster 25,Ward 7,20002
59,AppleTree Early Learning PCS - Parklands @ THEARC,1801 MISSISSIPPI AVENUE SE,PK3-PK4,Michaele Samuel,202-526-1503,,0,0,chrt_101,https://www.appletreeinstitute.org/schools/parklands/,313139,401989.27,130619.67,Y,2018-2019,AppleTree Early Learning Center PCS - Parklands at THEARC,103,AppleTree Early Learning Center PCS - Parklands at THEARC,1069,1069,PK3-PK4,38.84337425,-76.9770855,PCSB_141BLD,Cluster 38,Ward 8,20032
60,AppleTree Early Learning PCS - Southwest,801 7TH STREET SW,PK3-PK4,Michaele Samuel,202-646-0500,,0,0,chrt_99,https://www.appletreeinstitute.org/schools/southwest/,276812,398012.08,134671.03,Y,2018-2019,AppleTree Early Learning Center PCS - Southwest,103,AppleTree Early Learning Center PCS - Southwest,141,141,PK3-PK4,38.87987093,-77.02291066,DGS_0739.0,Cluster 9,Ward 6,20024
61,BASIS DC PCS,410 8TH STREET NW,5th-12th,Carolyn McGarvy,202-393-5437,,0,0,chrt_106,http://www.basised.com/washington-dc/,279758,397985.56,136374.28,Y,2018-2019,Basis DC PCS,168,Basis DC PCS,3068,3068,5th-12th,38.89521439,-77.0232213,PCSB_10BLD,Cluster 8,Ward 2,20004
62,Latin American Montessori Bilingual PCS [South Dakota Avenue],1800 PERRY STREET NE,PK3-5th,Diane  Cottman,202-525-5105,,0,0,chrt_149,https://www.lambpcs.org/,294529,401855.75,140990.2,N,2018-2019,Latin American Montessori Bilingual PCS [South Dakota Avenue],130,Latin American Montessori Bilingual PCS [South Dakota Avenue],193,193,PK3-5th,38.93679648,-76.97859551,DGS_0780.0,Cluster 22,Ward 5,20018
63,LAYC Career Academy PCS,3220 16TH STREET NW,Adult,Lori Kaplan,202-319-2228,,0,0,chrt_36,http://www.laycca.org/,301528,396808.36,140381.96,N,2018-2019,LAYC Career Academy PCS,172,LAYC Career Academy PCS,104,104,Adult,38.93131343,-77.03681,PCSB_124BLD,Cluster 2,Ward 1,20010
64,Lee Montessori PCS,3025 4TH STREET NE,PK3-5th,Chris Pencikowski,202-779-9740,,0,0,chrt_96,http://www.leemontessori.org/,302681,400098.47,140017.95,Y,2018-2019,Lee Montessori PCS,177,Lee Montessori PCS,228,228,PK3-5th,38.92804,-76.998864,PCSB_128BLD,Cluster 21,Ward 5,20017
65,Mary McLeod Bethune Day Academy PCS - 16th Street,5413 16TH STREET NW,PK3-2nd,Linda McKay,202-506-3620,,0,0,chrt_150,https://www.mmbethune.org/apps/pages/index.jsp?uREC_ID=412646&type=d&pREC_ID=900609,255870,396886.43,143113.08,Y,2018-2019,Mary McLeod Bethune PCS [16th Street],132,Mary McLeod Bethune Day Academy PCS - 16th Street,135,135,PK3-2nd,38.95591642,-77.03592199,PCSB_113BLD,Cluster 18,Ward 4,20011
66,Mary McLeod Bethune Day Academy PCS - Brookland,1404 JACKSON STREET NE,PK3-8th,Linda McKay,202-459-4710,,0,0,chrt_67,https://www.mmbethune.org/apps/pages/index.jsp?uREC_ID=412646&type=d&pREC_ID=904977,294522,401138.94,140191.85,Y,2018-2019,Mary McLeod Bethune PCS [Main],132,Mary McLeod Bethune Day Academy PCS - Brookland,135,135,PK3-8th,38.92960592,-76.98686463,DGS_0300.0,Cluster 22,Ward 5,20017
67,Maya Angelou PCS – High School,5600 EAST CAPITOL STREET NE,9th-12th,"Heather Wathington, Ph.D.",202-379-4335,,0,0,chrt_68,https://www.seeforever.org/,289793,406885.34,135830.53,N,2018-2019,Maya Angelou PCS - High School,133,Maya Angelou PCS - High School,101,101,9th-12th,38.89029144,-76.92063526,DGS_0686.0,Cluster 33,Ward 7,20019
68,Maya Angelou PCS - Young Adult Learning Center,5600 EAST CAPITOL STREET NE,Adult,Sarah Navarro,202-797-8250,,0,0,chrt_30,https://www.seeforever.org/,289793,406885.34,135830.53,N,2018-2019,Maya Angelou PCS - Young Adult Learning Center,133,Maya Angelou PCS - Young Adult Learning Center,137,137,Adult,38.89029144,-76.92063526,DGS_0686.0,Cluster 33,Ward 7,20019
