ST,AL,,AK,,AZ,,AR,,CA,,CO,,CT,,DE,,FL,,GA,,HI,,ID,,IL,,IN,,IA,,KS,,KY,,LA,,ME,,MD,,MA,,MI,,MN,,MS,,MO,,MT,,NE,,NV,,NH,,NJ,,NM,,NY,,NC,,ND,,OH,,OK,,OR,,PA,,RI,,SC,,SD,,TN,,TX,,UT,,VT,,VA,,WA,,WV,,WI,,WY,,
T20,000000003868,,000000002475,,000000005444,,000000002931,,000000051423,,000000006045,,000000007757,,000000001409,,000000008583,,000000001327,,000000000000,,000000001399,,000000011952,,000000011502,,000000011803,,000000002811,,000000005885,,000000000000,,000000004711,,000000001118,,000000003006,,000000014264,R,000000001788,,000000002815,,000000004890,,000000002053,,000000003508,,000000000000,,000000003704,,000000010399,,000000003534,,000000049000,,000000015507,,000000000257,,000000038882,,000000001192,,000000003390,,000000016333,,000000000109,,000000008405,R,000000000695,,000000001161,,000000072159,R,000000001936,,000000000381,,000000011700,,000000012676,,000000022422,,000000001682,,000000000000,,
T21,000000000000,,000000000002,,000000000000,,000000000464,,000000015027,,000000000828,,000000000066,R,000000000436,,000000015000,,000000000269,,000000000000,,000000000315,,000000048554,,000000005444,,000000016464,,000000000025,,000000000271,,000000000000,,000000000722,,000000013848,R,000000000423,,000000000000,,000000001174,,000000006144,,000000001766,,000000004669,,000000000184,,000000107312,,000000000140,,000000066807,,000000000387,,000000000016,,000000000000,,000000000281,,000000004417,,000000121596,,000000002727,,000000182899,,000000000427,,000000002203,R,000000007680,,000000000296,,000000008261,R,000000000000,,000000000037,,000000000086,,000000007061,,000000000193,,000000000597,,000000000000,,
T22,000000108682,,000000000228,,000000009456,,000000024504,,000000052916,,000000013881,,000000023901,,000000767478,,000000238147,,000000033318,,000000001461,,000000001923,,000000339776,,000000010206,,000000033072,,000000045343,,000000074724,,000000156648,,000000008211,,000000093086,,000000025137,,000000020752,R,000000007955,,000000112064,,000000091566,,000000002925,,000000014989,,000000065226,,000000038850,,000000227497,,000000009071,,000000059899,,000000621546,,000000000000,,000001387449,,000000046198,,000000015284,,000000538905,,000000004264,,000000073852,R,000000003911,,000000551412,,000003827871,R,000000003581,,000000001700,,000000054145,,000000025834,,000000006140,,000000018231,,000000011666,,
T23,000000020810,,000000024059,,000000028156,,000000026715,,000000091440,,000000068562,,000000005794,R,000000002970,,000000015143,,000000024135,,000000000378,,000000034035,,000000039606,,000000020682,,000000028663,,000000024987,,000000024716,,000000027252,,000000015886,,000000015384,,000000005222,,000000050601,R,000000058140,,000000014176,,000000032248,,000000044503,,000000017247,,000000008806,,000000010018,,000000013484,,000000025372,,000000075629,,000000016331,,000000014906,,000000038661,,000000019969,,000000044549,,000000070733,,000000002253,,000000018142,R,000000028236,,000000032362,,000000096659,R,000000028418,,000000006585,,000000024432,,000000035222,,000000001061,,000000071686,,000000035955,,
T24,000000200285,,000000063692,,000000176095,,000000139582,,000003108956,,000000379611,,000000196778,,000000047375,,000001282832,,000000282516,,000000100575,,000000120275,,000001446595,,000000393350,,000000466982,,000000174932,,000000194027,,000000109388,,000000094633,,000000433777,,000000362053,,000000877844,R,000000557733,,000000124437,,000000264213,R,000000142189,,000000079479,,000000158987,,000000131100,,000000578968,,000000121770,,000000965000,,000000548379,,000000087145,,000000832589,,000000579380,,000000496097,,000000800432,,000000053385,,000000127950,R,000000052822,,000000249577,,000001549349,R,000000292359,R,000000072214,,000000339581,,000000463075,,000000003381,,000000471556,,000000065895,,
T25,000000019148,,000000000000,,000000023701,,000000016871,,000000270344,,000000020937,,000000037251,,000000004356,,000000310101,,000000042648,,000000000241,,000000007676,,000000092484,,000000214505,,000000014428,,000000018222,,000000016537,,000000012758,,000000008400,,000000028554,,000000104298,,000000054712,R,000000046189,,000000033255,,000000017215,,000000008500,,000000010858,,000000020136,,000000012122,,000000050345,,000000003705,,000000136785,,000000127096,,000000004040,,000000089456,,000000015916,,000000028501,,000000060995,,000000000626,,000000042546,R,000000003611,,000000045118,,000000102556,R,000000013806,,000000007241,,000000058743,,000000066666,,000000097142,,000000042309,,000000002188,,
T27,000000013525,,000000000346,,000000009241,,000000008647,,000000449195,,000000016040,,000000000704,R,000000000000,,000000031638,,000000000023,,000000020325,,000000035451,,000000025780,,000000000000,,000000012171,,000000006621,,000000000000,,000000010911,,000000000000,,000000000000,,000000000000,,000000024260,R,000000000779,,000000008543,,000000020970,R,000000000007,,000000000000,,000000000000,,000000010049,,000000004172,,000000001332,,000000034047,,000000000000,,000000000004,,000000033179,,000000000005,,000000010263,,000000061214,,000000000000,,000000000000,,000000000000,,000000007372,,000000024947,R,000000000000,,000000000000,,000000000000,,000000018059,,000000000408,,000000039565,,000000000000,,
T28,000000126525,,000000043543,,000000113170,,000000113194,,000004065097,,000000042068,,000000148558,R,000000277882,,000000219401,,000000074279,,000000021682,,000000063088,,000000387820,R,000000041033,,000000110012,,000000028850,,000000114268,,000000105938,,000000106915,,000000166317,,000000249807,,000000154820,R,000000332015,,000000093219,,000000143270,R,000000097429,,000000074505,,000000207331,,000000105485,,000000434587,,000000025186,,000000220000,,000000197097,,000000059486,,000000795721,,000000089049,,000000422705,,000000796930,,000000032097,,000000123849,R,000000087747,,000000271796,,000000604609,R,000000043906,,000000016641,,000000162137,,000000241255,,000000009658,,000000183214,,000000023348,,
T29,000000000001,,000000008504,,000000003887,,000000000933,,000000018850,,000000001031,,000000004550,,000000148820,,000000003881,,000000009235,,000000001290,,000000003841,,000000015961,R,000000007972,,000000007112,,000000002551,,000000004337,,000000003756,,000000008792,,000000002005,,000000109782,,000000163249,R,000000049924,,000000014103,,000000018318,,000000006658,,000000026174,,000000004629,,000000000720,,000000002262,,000000004233,,000000001393,,000000007732,,000000000000,,000000023200,,000000013567,,000000006570,,000000018464,,000000000203,,000000012106,R,000000015364,,000000008222,,000000165333,R,000000005890,,000000001759,,000000004369,,000000063393,,000000003051,,000000004340,,000000000000,,
T40,000002616000,R,000000000000,,000002416324,,000002091082,,000045646436,,000004089948,,000005768846,,000000853107,,000000000000,,000007016412,,000001527790,,000001068754,,000009433245,R,000003868093,,000002650037,,000002687542,,000003154488,,000002286500,,000001303370,,000006200292,,000010128035,,000005531349,R,000006458111,,000001352481,,000004326507,,000000714814,,000001514831,,000000000000,,000000082365,,000010322943,,000000956600,,000034751382,,000009133689,,000000303764,,000007886802,,000002224783,,000004945538,,000009352287,,000000909674,,000002673000,,000000000000,,000000172459,,000000000000,,000002104641,,000000489107,,000008659470,,000000000000,,000001521895,,000005791991,,000000000000,,
T41,000000428245,,000000643068,,000000413193,,000000385365,,000009114589,,000000360003,,000000507752,,000000142417,,000001793180,R,000000684701,,000000079853,,000000098327,,000002686686,R,000000597347,,000000192138,,000000352419,,000000383815,,000000393036,,000000175292,,000000891392,,000001834859,,000000631895,R,000000721742,,000000316331,,000000206936,,000000093225,,000000154332,,000000000000,,000000499669,,000002047474,,000000125100,,000003895349,,000001294314,,000000088347,,000000142318,,000000216400,,000000353589,,000001648956,,000000121668,,000000148500,,000000031157,,000000901617,,000000000000,,000000245980,,000000085178,,000000789655,,000000000000,,000000237159,,000000851537,,000000000000,,
T50,000000000096,,000000000086,,000000000351,,000000000089,,000000000000,,000000000123,,000000167977,,000000000231,,000000003300,,000000000000,,000000000000,,000000000282,,000000243379,,000000133211,,000000068358,,000000008396,,000000037202,,000000001754,,000000031210,,000000173460,,000000221379,,000000000000,,000000148422,,000000000040,,000000000246,,000000000048,,000000000067,,000000000000,,000000000051,,000000581624,,000000000008,,000000866377,,000000083980,,000000000009,,000000055024,,000000023434,,000000098034,,000000728713,,000000030131,,000000000073,,000000000143,,000000081091,,000000000081,,000000000061,,000000014165,,000000005670,,000000081720,,000000000100,,000000000872,,000000000028,,
T51,000000030354,,000000000000,,000000000000,,000000026275,,000000000000,,000000000000,,000000098615,,000000052875,,000001252500,,000000011622,,000000039887,,000000000000,,000000040323,,000000000000,,000000012533,,000000000000,,000000003072,,000000000000,,000000019184,,000000127401,,000000166989,,000000121632,R,000000152970,,000000000000,,000000008361,,000000000000,,000000010550,,000000057462,,000000084470,,000000275969,,000000000000,,000000311230,,000000034204,,000000000000,,000000000000,,000000011321,,000000010115,,000000347108,,000000006895,,000000031669,R,000000000175,,000000124226,,000000000000,,000000000000,,000000024808,,000000289488,,000000398991,,000000007933,,000000044308,,000000000000,,
T53,000000090538,,000003355049,,000000029101,,000000065147,,000000024409,,000000071436,,000000000061,,000000000000,,000000071010,R,000000000000,,000000000000,,000000006730,,000000000000,,000000001426,,000000000000,,000000102878,,000000317146,,000000758469,,000000000000,,000000000000,,000000000000,,000000063106,R,000000023290,,000000090832,,000000000002,,000000253649,,000000003473,,000000182752,,000000000000,,000000000000,,000000654752,,000000000000,,000000001464,,000001136553,,000000010550,,000000743686,,000000012742,,000000000000,,000000000000,,000000000000,,000000008410,,000000002251,,000001856323,R,000000089162,,000000000000,,000000001882,,000000020905,,000000546304,,000000005004,,000000721002,,
T99,000000000000,,000000000000,,000000000000,,000000024838,,000000000000,,000000000000,,000000006801,R,000000000762,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000059324,,000000061172,,000000000000,,000000000000,,000000001380,,000000012408,,000000003297,,000000000000,,000000385110,,000000000000,,000000000000,,000000000000,,000001337019,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000024892,,000000000000,,000000000000,,000000000000,,000000037032,,000000000000,,000000000000,,000000004341,,000000106864,,000000000000,,000000000000,,000000012185,,000000005488,,
